962,1
1338,1
2380,0
1024,1
3275,0
1888,0
2099,0
1375,0
209,0
3270,0
3462,0
157,1
593,1
1589,1
257,0
3330,0
2599,0
2672,0
763,0
1970,0
1306,0
1460,1
2476,1
87,0
3376,0
2395,0
247,0
2074,0
2869,0
1151,0
241,1
3494,0
1955,1
1288,1
654,1
2467,0
1307,0
202,1
835,0
3168,0
1819,0
1230,0
3033,0
3314,0
1818,0
1991,0
2023,0
1129,1
2412,1
365,0
2223,0
1348,1
2080,0
1775,0
2362,0
823,1
20,1
1502,0
3003,0
1112,0
2730,0
1506,0
3501,0
995,1
2521,0
2656,1
765,0
2435,0
562,1
57,1
1263,0
253,0
2779,0
13,1
767,1
1521,1
2069,0
1824,0
2846,0
2708,0
1067,1
776,1
391,1
2482,0
3145,0
663,1
104,1
2454,1
1120,1
444,1
1779,0
2732,0
1561,1
1177,1
2770,0
1849,1
1423,1
1315,1
3433,0
1109,1
1517,0
2522,0
2533,0
1759,0
3364,1
2507,1
3072,0
3361,0
867,0
2207,0
1332,1
3466,0
2878,0
3094,0
991,1
3613,0
2874,0
1896,0
3536,0
2652,0
83,1
2342,1
3454,0
286,1
3087,0
214,1
3061,0
1689,0
3479,0
2950,1
27,0
1788,0
2586,0
364,1
7,0
2318,0
3646,0
1030,0
3017,1
1277,0
2812,1
1682,0
2361,0
1021,1
3175,0
108,1
1337,1
2288,0
1007,1
1548,0
2699,0
3495,0
2409,1
711,1
531,0
1053,1
2866,0
1571,0
1350,0
2446,0
913,0
129,0
2171,0
2228,1
741,1
2608,0
1708,1
2525,0
2399,0
2041,0
2556,1
3194,0
2737,0
494,0
2654,0
1058,1
2226,1
2053,0
3385,1
2277,0
1281,0
3126,1
2293,0
3360,1
3236,0
1275,1
796,0
1293,0
3162,0
3349,1
1980,0
3238,0
3062,0
2156,0
3036,0
1967,0
3393,0
1393,0
1713,0
719,1
1930,1
2864,0
3149,0
3472,1
692,1
162,0
618,1
3052,0
1738,0
192,1
769,0
3332,0
377,0
1419,0
2606,0
403,1
3467,1
824,1
1102,1
198,0
1115,0
853,0
1761,1
3435,1
2643,0
1083,1
626,1
3312,0
1535,1
1260,0
1476,1
956,0
2968,0
2946,0
3624,0
3362,0
959,0
2840,0
356,0
3348,1
3086,1
942,1
178,1
513,0
985,0
1532,0
2157,0
2105,1
1364,1
2189,0
888,1
2793,0
2653,0
2759,0
2990,0
1144,1
252,0
1185,1
75,1
3,1
109,1
3024,1
961,0
3519,0
3407,0
1960,0
1438,0
1728,1
3160,0
2941,0
3608,0
263,1
858,0
1580,0
2681,0
3158,0
417,0
402,0
2568,0
2842,1
1511,1
477,1
1449,0
694,0
2891,0
1690,1
660,0
708,0
3114,0
3001,0
1828,0
573,1
2591,0
3051,0
1172,1
3411,0
2880,0
3060,0
1018,1
1071,1
541,1
2147,1
2010,0
3369,1
1014,1
1446,1
2637,0
447,0
2131,0
3169,0
3446,1
949,1
1598,0
2067,0
331,1
2512,0
294,1
777,0
871,0
54,1
1100,1
2501,0
1905,0
3561,1
2808,1
644,0
2791,0
1718,1
2518,0
2124,0
1962,0
1629,0
2299,0
2316,0
1879,0
625,1
2457,0
2178,0
1621,0
714,1
2588,0
1543,1
3579,0
2338,0
1221,0
1729,0
1609,1
2425,1
12,1
348,0
2002,0
3167,1
3144,0
2026,0
98,0
31,1
1875,1
229,1
1932,0
1816,0
3157,0
1085,1
275,0
1770,0
2571,1
2285,0
1126,0
2014,0
